Key,Description
tracker,Specify the tracker ID of the rule to update
type,"Update the firewall rule type (pass,ÿblock,ÿreject) (optional)"
interface,"Update the interface the rule will apply to. You may specify either the interface?s descriptive name, the pfSense ID (wan, lan, optx), or the physical interface id (e.g. igb0). Floating rules are not supported. (optional)"
ipprotocol,"Update which IP protocol(s) the rule will apply to (inet,ÿinet6,ÿinet46) (optional)"
protocol,"Update the transfer protocol the rule will apply to. Ifÿtcp,ÿudp,ÿtcp/udp, you must define a source and destination port. (optional)"
icmptype,"Update the ICMP subtype of the firewall rule. Multiple values may be passed in as array, single values may be passed as string.ÿOnly available whenÿprotocolÿis set toÿicmp. Ifÿicmptypeÿis not specified all subtypes are assumedÿ(optional)"
src,"Update the source address of the firewall rule. This may be a single IP, network CIDR, alias name, or interface. When specifying an interface, you may use the physical interface ID, the descriptive interfance name, or the pfSense ID. To use only interface address, addÿipÿto the end of the interface name otherwise the entire interface?s subnet is implied. To negate the context of the source address, you may prepend the address withÿ!ÿ(optional)"
dst,"Update the destination address of the firewall rule. This may be a single IP, network CIDR, alias name, or interface. When specifying an interface, you may use the physical interface ID, the descriptive interface name, or the pfSense ID. To only use interface address, addÿipÿto the end of the interface name otherwise the entire interface?s subnet is implied. To negate the context of the source address, you may prepend the address withÿ!ÿ(optional)"
srcport,"Update the TCP and/or UDP source port or port alias of the firewall rule. This is only necessary if you have specified theÿprotocolÿtoÿtcp,ÿudp,ÿtcp/udpÿ(optional)"
dstport,"Update the TCP and/or UDP destination port or port alias of the firewall rule. This is only necessary if you have specified theÿprotocolÿtoÿtcp,ÿudp,ÿtcp/udp"
gateway,Update the routing gateway traffic will take upon match (optional)
disabled,Disable the rule upon modification (optional)
descr,Update the description of the rule (optional)
log,Enable rule matched logging (optional)
top,Move firewall rule to top of access control list (optional)
apply,"Specify whether or not you would like this rule update to be applied immediately, or simply written to the configuration to be applied later. Typically, if you are updating multiple rules at once it Is best to set this to false and apply the changes afterwards using theÿ/api/v1/firewall/applyÿendpoint. Otherwise, If you are only updating a single rule, you may set this true to apply it immediately. Defaults to false. (optional)"
